Komentar,Sentimen
"Out of Exile: A moving story of a life of the mind by one of Indonesia's seminal political thinkers and actors, it is a very human story of exile, love, love betrayed and loyalty to values we all claim to uphold written by someone who actually did so.",Positif
I love him: IT WAS CCCCCRACK!!!i love him and the album i think that it was betta lyrically then from me to u~but i love santana and the whole movement ever since it start i loved cam back when he was with mase so i am a dipset fan but really its good,Positif
"I never ordered this but get to review it anyway!: Gotta love the internet, I never purchased this item but love to review things. How is that any different than professional sports I will never know. Semper fi, never been in the military either......",Positif
Roomful Smokin' out of the Gate!: This is an incredible big band blues album. From the very get go Roomful were a force to be reckoned with. Its leader Duke Robillard is red hot! And the band follows in kind. A cornerstone modern blues album for sure.,Positif
"HEAVY METAL EROTIC SPECIAL NO. 2: AMAZON DOES NOT HAVE THIS IN STOCK, BUT IT IS AVAILABLE ON THE HEAVY METAL SITE AND IS WELL WORTH THE PURCHASE PRICE. THIS REFERS TO EROTIC SPECIAL NO. 2. I AM STILL TRYING TO LOCATE EROTIC SPECIAL NO. 1 (SPRING 2000)",Positif
very durable log carrier: This is a really tough carrier. Well made. It allows me to bring quite a few logs in at a time. Most of the mess stays in the carrier. I just empty it outside. I wish it were just a little wider to be able to fit longer logs.,Positif
"Great Books of the Western World: This is another collection I have longed to find for years and years. It now sits on the shelf in my library and I look forward to a long winter of reading these treasures. Great service, great condition -- thank you.",Positif
"Better quality than I expected: I use it for cold therapy only. It is of superior quality, better than any other ice pack I have used before. I'm pleased with the snug fit. It doesn't leave your skin wet, like some other ice packs. Highly recommended.",Positif
see it: this is by far the best in the series. its well acted and there are twists and turns to keep u interested in the story. its one of those few sequels that actually work. great action a amart plot and a few twists and turns makes this a must own,Positif
"An especially fine audiobook narration by Susie Breck.: Luanne Rice's Follow The Stars Home receives a fine reading by Susie Breck, whose voice brings alive the story of a single mother who is abandoned when their daughter turns out less than perfect.",Positif
A Real Irish Childhood Vision: A superb exploration of a childhood character in the Irish setting. Brought through an imaginative focus upon the growing pains of such a wild creative mind. Easy to relate to with such memories of a forgotten childhood.,Positif
Awesome: Great price for a nice simple rifle case. Fit my S&W AR-15 perfectly. Holds 30 round mags on the outside fine and shuts closed fine. no issues. You can fit the rifle with a mid-size / small scope. The bigger optics may have issues zipping up.,Positif
"Authentic: At the time of purchase I was dating a man who is 3/4 Cheyenne. He loves this movie - says it is authentic of Native American culture. He grew up in Lame Deer, MT, and knows some of the actors in the film, so this only adds to his pleasure.",Positif
"Still a great book: The Winds of light books are great! This one is no exception, but I like the first 6 the best. The only reason I gave this book a 4 star rating is because the other 6 were better. I would of gave it a 5 if I had not read the others.",Positif
"Good for Hip and Knee joints in my Bichons: This product is palatable and seems to work well with my Bichon, who injured her knee in a tussle with my younger Bichon. The joint works well and she seems to not have anymore pain. I recommend this product.",Positif
ceramabryte scraper: This tool is small for nice storage and use. The razor or sharp edge works perfect on my flat top stove for scraping off burnt on stuff before I use the rest of ceramabryte prodects to clean it. The razor appears to be replaceable.,Positif
"A path from apathy...: From the perspective of a member in a culture consumed in the ""existential vacuum"", Frankl's experiences and logotheraphy discussion offers a call to action for those prepared to live a meaningful life. This book will change you.",Positif
"I don't care I enjoyed this movie!: Being a father and also being a Kevin SMith fan, this movie was easy to connect with, I also have a daughter and a big ambition to make movies, it is also something that gets in the way of being a dad. A great movie.",Positif
"My fav movie: This is my favorite movie because it's a shark eating people... this movie is scary enough to keep you out of the ocean. If you watch this on a BIG BIG BIG screen TV, it is AWESOME! My fav scene is when Jaws eats her way through the boat.",Positif
"I am glad i made this purchase.: Probably the luckiest dollars i have used to purchase this vegetable brush. It's worth every penny. Just buy it, you won't regret it. I used some other vegetable brushes they are not even worth comparing to OXO quality.",Positif
"Just love this band: I just love this band. Lynott's melodic and sensible vocals, the incredibly duo of guitarists Robertson and Gorham, the efficient and imaginative drumming of Downey.Johnny The Fox is one of their best albums. It flows effortlessly.",Positif
"Life-changing: This book was so amazing. It has changed my life in such a positive way. My thought life is the biggest contributor to my quality of life and up until this book, I had not realized how much control I can have over the direction it takes.",Positif
"funny as hell: this is bad, really bad but that is what makes it so funny. I especially like the end when the leprechaun's hand floats past the window of the ship. Oh yeah the princess who has nothing to wear so she wants to mary the leprechaun. funny.",Positif
"Great dvd!!!: I was already working out 3 or more times a day, but wanted to be careful with being pregnant. I didnt want something tooo easy or too hard, and I think this is perfect!! It's the perfect combination of weights and cardio!!! I LOVE IT!!!!",Positif
"Fun, Fun, Fun!: I really enjoyed this CD. In response to Neverland, USA: I don't think Rosie has ever claimed to be a great musical star. She loves to sing and have fun and it shows on the CD. It makes a great addition to my collection of holiday CD's.",Positif
"A wonderful book with a lesson!: All children should read this book to learn to be contented and grateful for what they have and not to believe that the grass is always greener on the other side. Simple but meaningful, realistic, and enjoyably lovable.",Positif
Only used the spot treatment: So I haven't used the entire system but the spot treatment is amazing! It only took one night to reduce my giant pimple. It's not harsh and is pretty cheap. I would recommend this to anyone who needs a fast problem solver.,Positif
"Absolutely great tripod for movie camera: excellent and cheap...panning acts almost like the $400+ tripods for movie cameras...and the controls in the handle add to the convenience and control of ""shaky"" movement...sold...stable...tall...worth the price",Positif
"BibleMan a great Video: Absolutely wonderful video, my preschoolers love it and now go around playing Bibleman the hero, They shout out ""Word Power"" to fight bad guy. This is a great improvement from playing slash and shoot them-up. The price was great.",Positif
Great book to learn banjo!!: I bought it as an extra book and have used the same book for years (mine was deteriorating) and have shown it to many friends to use when they express an interest in learning to play the banjo. It is a great book. I love it.,Positif
"That's The Way It Is: RCA/BMG, Warner and anyone that sells Elvis products, know that the ""hardcore"" fans will buy just about anything related to Elvis. As to this DVD set, could it have been better? Yes. But I don't really have any big problem with it.",Positif
Great Movie: In received my video very fast. I love doing business with Amazon. I never had any problems with them. The movie is great if you like Tim Conway. I love the old movies. They are classic to me. So you should enjoy the movie if you enjoy him.,Positif
"Classic movie!: Been looking for this movie on DVD for years. One of the all time classic comedies. Comedic timing perfect! Not your ""action packed"" comedy, but nonetheless a star-studded classic. Put on par with the original ""Mad, Mad, Mad, Mad World.""",Positif
"Wonderful funny read: This was a terrific story that had me laughing all through it. The characters really grow on you and the plot has plenty of twists and new developments. This is my first Jennifer Cruise novel, but I will be looking for others soon!",Positif
"Great Books: Francesca Lia Block has the ability to take you anywhere in her beutifully writtern books and in this she takes you to the over exposed world of the Valley. All her books are magical, this one espescially so. I would reccomend it to anyone.",Positif
"This is all I expected !!!: I bought this with FleetwoodMac's ""Dance"" yesterday. This one blown FM away! It has all the best songs of Eagles in their original 'form' (the way I like it). And the Video/Audio is simply fantastic !Two Thumb's up up up ....",Positif
"Super Fresh High Quality: Very reasonable price for an awesome product. Super Fresh and aromatic, high quality item. Super fast shipping....will purchase again. It's deli dill pickle time :) this product is worth of my organically grown pickling cukes..",Positif
"Very representative collection: Legacy is certainly very representative of Rick Nelsons wonderful career, from the very first release to the final days. Nelson had so many great recordings, however, there is a lot of material to be picked up else where.",Positif
"Much Better than Win98SE: ME is much more reliable and efficient. New features like active ""start"" menu bar which hides less used shortcuts gives you better and tidy looking menus. Very useful for people like me. But it slows down the system as usual...",Positif
"The Eagles - Farewell 1 Tour: I really enjoyed this DVD. The Eagles have produced some of the greatest music ever recorded. One of the new songs on this DVD, Cloudy Days, is beautiful. Glad I purchased this one, will probably be collectors item one day.",Positif
"The Founder of Kyocera and Japanese DDI Company: More than 'Japan Inc."" ... For Outsiders to understand the Japan. For Japanese to understand themself. For Worldwide people to read and learn about one 'Company Way of Life'. Very good style. Clear points",Positif
"Does what it's designed to do.: Hole punches like this are for punching PAPER. It punched through 4 layers of card stock quite easily. If you're looking for something to punch through leather, cardboard etc. you need to pay more and get a heavier punch.",Positif
Great gun except the price: this is a good gun and needed for any airsoft war but it is slightly over priced i bought a clone for under $300 on airsplat which is slightly better because it comes upgraded and it comes with the 2400 round electric box mag,Positif
"Very good chant (esp for the price): I could not conceive (initially) why so many seemingly good chant tracks were being sold at such a discount. After purchasing and listening to it several times, I still can't.Best deal I've gotten on Amazon so far...",Positif
The Brothers Bulger: Once I started I coud not put it down. I have always followed the Bulger brothers story in Mass. I hope this is another book as the story gones on. I wish he would do another book with more details on Billy and the politics of Mass.,Positif
one of the best: I love Jimmy Stewart and this is the movie i love him in it. That and It's a wonderful life. I have been searching for it EVERYWHERE! I can't seem to find it and I love the movie. It's one of the best. I love mystery and it's a mystery!,Positif
"Beautiful Shoe: As usual Aerosole has made another unique fashionable yet comfortable shoe. I bought the gold color and get comments everytime I wear. Although I would not want to go all day shopping with this shoe, it is great for work or evening wear.",Positif
"Still a Favorite: I read this book - glued to it - in high school -- and because I am fascinated by medicine anyway, I have recently repurchased a few copies to share with others. If there weren't so many books to read, I'd read it again! I still might!",Positif
"IB: very good purchase for my daughter, she had a pair before and she wouldn't take them off unless she went to sleep so they worn out in almost 3 years, so i got this new pair for her for xmas, i'm sure she's gonna love them.perfect sizing and quality.",Positif
"My 3 year old loves this movie.: My son is always asking for me to out this on, which is probably the only thing I don't like about it. LOL It can get to be a bit much after the 3rd time in one day. My husband and I quote it to each other as a joke now.",Positif
"Dense with knowledge: This film is filled with informative interviews which is great. This film is also subtitled. Not so great. Definately worth an afternoon. Watch this film with intention because it is filled with teachings, visual cues and subtitles.",Positif
F 451 shows how dangerous a person's ideas are.: I enjoyed this book very much because it gives you an extreme .look towards censorship and how the media can influence the way we think. An individuals ideas and thoughts are shunned for society in general,Positif
"Shoe Goo: Shoe Goo works great. The bottom of my tennis shoe was peeling. I applied some shoe goo and glued the sole back on and let it dry 24 hours. Next day the tennis shoe was good. Shoe Goo really works! For the size, I should buy a smaller Shoe Goo.",Positif
A good book but Jordan is starting to slip.: I thought The Fires of Heaven was a good book. But Jordan is starting to slip. It seems that Jordan is repeating himself. But when I finished this book it seemed to me that the six book was going to be better.,Positif
A collection of one of the best comedies ever: This collection of all 12 episodes of Fawlty Towers is great! It is a nicely packaged 3-disc set and the episodes are all classic and gut-bustingly hilarious. I highly recommend purchasing this complete set.,Positif
"Again I have the movie/book/and tape series...use them in class: The first time I read this I knew this was perfect for teacher, coaches, counselors the whole smear...never a better book written except maybe the bible/or Vince Lombardi's Run To Daylight.",Positif
"Great book: This is a great book, honestly I have using a lot of its know-how on my job.My advise is that all reader should know the decorator pattern to understand better the class structure, and I hope in the next version add some information about it.",Positif
"Easy to grip, easy to scoop: This is an easy to grip, sturdy scoop. The handle is cushioned, which helps you get a strong grip. The scoop is well-built and feels sturdy in your hand. Because of this, it makes scooping even the hardest ice cream a breeze!",Positif
most disturbing thing i ever saw: this film is the most disturbing thing i've ever seen. satan being in something is just gonna lead to foulness but this just went a little 2 far. arnold needs 2 re-team with james cameron for true lies 2 or terminator 3.,Positif
Little Green Machine: I have owned one of these vacuums for several years. I use it more than my large upright. My Eureka has a lot of power and it is easy for me to use because it is so light weight. I gave one to my Aunt for a gift just this Christnas.,Positif
"Good quality product: I bought 2 of these helmets for my grandkids for bike riding and they are the best helmet for kids.The kids like the way they fit compared to others they had and they like that they are not heavy and are pretty ""kool"" looking too :)",Positif
"AMAZING SHOES!: Good Morning! I bought these for my Birthday Weekend, and dancing with my friends. They worked wonderfully! They're ONLY a 4 inch heel, (surprising from Jessica Simpson), but they didn't hurt 5 hours into wearing them. I LOVE these HEELS!",Positif
"A MUST-READ: This book was a great look at pioneer and prairie life, not only because of the story's plot but because of its AUTHENTICITY! This book wasn't written by somebody who studied about the time period, but someone who actually lived throught it.",Positif
ready for kindergarten: Really liked the book my daughter starts kindergarten in the falls so I've been trying to encourage her with books about school. She really enjoyed the story and id recommend it. The book was delivered promptly and in great shape.,Positif
"As Good As I Remember It From The First Time: I saw this one many years ago on television. Unlike some of the other old movies I have been sold, this one has the quality I expected. It is clear in picture and sound, and it does not have anything cut out.",Positif
"Great...wish they came in colors: I am not a Jeans person. This is the first pair I have had since I was a kid and they fit great and they are going to be a great knock around the house, yard etc pair of slacks. Wish they came in other colors like brown.",Positif
"THE BEST TEXT FOR THE BEGINNERS: THE BOOK, IN A FEW WORDS, CLEARLY EXPLAINS THE BASIC AND ESSENTIAL CONCEPTS. BUT THE PROBLEMS ARE MOST SINGLE-STEP OR PLUG-AND-CHUG. THIS IS A FLAW INDEED. BUT THE TWO AUTHORS REALLY DID A GOOD JOB PRESENTING THE SUBJECT.",Positif
Excellent blu-ray transfer: I don't mind paying more for a Disney movie on blu-ray because they always restore their animated classics before putting it on blu ray. It really shows on Rescuers Down Under since it's not as old as the original. Good value.,Positif
Adventures in Paradise: As this was the first time I have purchased anything on line I wasn't sure what to expect. Thank you for getting my order out to me so quickly and efficiently its been great especially as I'm laid up with a broken leg.cheers alana,Positif
Fabulous Product: This product is the absolute BEST on the market. There is no stain or odor that escapes its power. I recommend this to all parents of young children and all pet owners. You will be glad that you have it available. Absolutely fabulous !!,Positif
"Uplifting, inspiring, brilliant: Brilliant work that makes concepts some believe to be unexplainable mysteries so clear and even easy to understand. The book is a treasure and everyone should read it if they want to better understand the purpose of life.",Positif
It send be back to the Word: Loved the connection not only with history and the Bible but also with Lynn's interpretation of the characters. Made me want to seek out the Word in the Kings and Chronicles. Anything that leads us to the Lord has to be great.,Positif
parts purchase: Kudos to the guys that helped me purchase this part. I had been through many local parts stores and everyone had me waiting many days or weeks even and alot more pricey. I will definitely go to these guys again and I highly recommend them!,Positif
Schneider does it again!: If you've seen Deuce Bigalow: Male Gigolo and liked Rob Schneider's performance (no pun intended) as much as I did - then you'll love The Animal! Same kind of goofy humor. Will definitely be buying this on DVD when it's released.,Positif
great for what i do: This toy is great for customization as well as overall playing... I'm actually going to get another one just so I can customize an Ice cream van out of it... I recommend getting this if you customize toys... or as a gift for your kids,Positif
"Great book for young adults teens 13-19: This book has the feeling to get into your mind of what it is mlike to die, what you feel when someone dies. It ios a great book to experince, that is why i like it, it has been the second best book i've ever read.",Positif
"Good Book- Medical Thriller: I really thoroughly enjoyed this book. Toby was a good main character to the problems that were faced in the ER. It was interesting how dr. carl wallenberg was opposing her so much of the time! To find out more, read the book!",Positif
"A must watch...: ""Eating Out 2: Sloppy Seconds"" is not as good as the first movie, but still rates 4 of 5 stars. In the sequel, you already know there will be plot twists, but they can still catch you by surprise. Watch ""eating Out"" then watch this movie.",Positif
Great single by 112: Another great song and Remix by 112 this was very hot they go more in Depth on this one some good vocals all thought not Peaches N Cream and Dance with me this should not be missed.Lyrics 10/10 Production 10/10 Style 8/10 Overall 9/10,Positif
Nothing Could Be Finer: It is such a joy to be read to and even better when James Herriot has told the tales and Christopher Timothy is the reader. This audio book collection is timeless. I can listen again and then again and never get tired of the tales.,Positif
"sounds better each play: Unfortunately, a really good 70s album that never got released in the 70s. Reminiscent of Flash but with a female singer. Styles are all over the place- 7 songs, 7 styles, 7 different songs. Some arrangements will please Yes fans.",Positif
"One of my Grand-Darlings' favorites: It's nice to see Barbie still thriving and in this case, a spirited heroine. Our little girls love this story as well as the animation and beautiful colors. I think we'll be watching this story for a long time to come.",Positif
"Absolute BEST!: I have read a lot of books, but this one takes the cake. Tailchaser's Song is absolutely my favorite book! Not only is it wonderfully written (which it is) but it is also from the point of view of a cat. I would recommend this to everyone!",Positif
Oregen Scientific UV Sensor: This item is very useful for determining your burn time in the sun dependant on your skin type. It is relatively simple to set up for an individual user.Totally worthwhile if you are a person who works outside on a daily basis,Positif
"A FINE ENTRY FROM THE MASTER OF ITALIAN HORROR: WHILE NOT QUITE AS GOOD AS PHEMOMENA, THIS IS STILL A GREAT EXERCISE HORROR/SUSPENCE. AND GIVE ARGENTO CREDIT FOR CASTING A TRANSSEXUAL IN THE FLASHBACK SCENES. JUST KNOWING THAT MAKES THEM EVEN MORE FREAKY.",Positif
"One of the best foreign language films: For once, a film coming from a north european country that is neither unhealthy nor perverse.Suzanne Bier is a wonderful director as she proved in two of my favorite films ""Things we lost in the fire"" and ""Brothers"".",Positif
"Deadliest Plane Crash reveiew: DVD was in excellent condition, brand new. The Film is very good, well made, very good visuals to go with the story telling, however, this is a short version of the original film, that is the only negative of this production.",Positif
"No Skip-Ahead function on this DVD: BABE is a wonderful movie, but this DVD does not allow the viewer to skip thru the previews. Once the movie begins you can skip around, but you have to sit thru a bunch of previews EVERY TIME your kid watches this movie.",Positif
"Highly recommended baby doll!: This laughing calin doll is perfect for young toddlers. She is small and light enough to be carried around easily. Her expression is very pleasant. She is the perfect ""play Mommy"" doll. She appears very well made and durable.",Positif
Very nice color: I bought these for my daughter to use before a dance. SHe used 2 towels ( she said they fell apart) but the color was very nice. She is very fair with red hair and I thought the color looked very natural. I will be using these this summer.,Positif
Outstanding: I reside in Texas and have personal knowledge of the immigration situation from a different view than that reflected in the book. It very much humanizes this situation and makes one aware that these are real people with families and a history.,Positif
"Great Film!: The Alamo is a masterpiece from John Wayne. Any controversy over this film is overblown and outdated. Who really paid for the keg of Corn Liquor that got blown up by the cannonball, Chill Wills or Davy Crockett? Did Davy sleep with the senora?",Positif
"Inspirational & different.: Guidance to not only healthier lifestyle, but the whole body/spirit/mind connection. Easy and powerful read, saturated with poignant quotes. Proved to be very helpful while dealing with illness in the family. Highly recommended.",Positif
Excellent down to earth from down under.: This is a very interesting book. The characters are real and down to earth- believeable. There is much anticipation for Carol from one moment to the next to get closer to solving who and why the teacher was killed.,Positif
"to get the facts: For the best non-fiction account of the Anglo-Egyptian/Sudanese war of 1897-98 read Winston Churchill's ""The River War"". The future prime minister was a 25 year old cavalry lieutenant in the 21st Lancers. Hard to get but worth the effort.",Positif
"Move over, Blatty: Ok, I just have to say that I hated the THE EXORCIST. It was pointless and nasty and not scary at all. POSSESSED is a far superior film, with believable and well-rounded characters, as well as a more interesting plot line. Two thumbs up!",Positif
Brilliant 1st collaboration: Brilliant 1st collaboration of Dan Fogelberg and jazz-flutist Tim Weisberg with the hit song The Power of Gold on the album aswell. Excellent musicianship. worth listening to this Folky-jazz vibe album even guesting the Eagles.,Positif
"Spiritual Omer counting: I am finding this book very very useful; every day is presented a new and profound insight into how we conduct our lives. I force myself not to look ahead, so every evening my meditation begins with a new way of looking at my life!",Positif
"indoor digital antenna: Purchased this product b/c of online reviews. Unit worked great until Christmas Day. As I adjusted antenna, the wire from the back just came out & now it does not work at all. Will try to return item & order a total different model.",Positif
Quite large and sturdy: These are nice-they are large and pretty sturdy. The interlocking feature for storage is wonderful! The only thing that would make them really prefect is if they could be used int he microwave-but I see they have others than can be.,Positif
"dystopian classic: Wow, what a great book about a dystopian society, censorship, and the need of the state to keep the masses blind, deaf, and dumb. If you enjoyed ""1984"", ""Brave New World"", or ""The Giver"", you must read this. It is now one of my favorites!",Positif
"Office Space (1999): This movie is for anyone who has suffered a printer jam, worked next to someone loud and annoying, had a boss from Hell. This movie will get you to laugh. Especially enjoyable on particularly bad week at work (preferably cubical style).",Positif
BEST MUTI VITAMINS IN THE MARKET: For Years i been taking it yes your urine may turn yellow i have orange label and sometimes if you eat it with food your stomach might hurt but its life its a good vitamins A C E D The best! I Rec People To Try This Vitamin,Positif
"Go Conan!: All of the Conan movies are great, and no one fits the bill better than Arnold ;) There are some scenes in these movies though, that are....exposed....lots of nudity that I had never seen before....but that's ok, I could look at Arnold all day ;)",Positif
"A great album: This is a really nice ambient album, the kind of album you can close your eyes and think while listening to it, also a good album to go to sleep to. If you like ambient music buy it, if you haven't heard ambient buy it to see what ambient is.",Positif
"ruler in the rapgame: foreshadowed and epitomized the pimpster attitude of many rappers during the late '80s and '90s,with gold chains, his eye-patch.Whit his irreverent,humorous,smart and rebellious style he is the King in the rapgame. bye all his albums!!",Positif
outstanding spinner!!!!: I LOVE MY SALADS!! I;M VERY PICKY ABOUT WASHING MY SPINACH BEFORE I CREATE MY SALAD. THIS OXO IS ONE OF THE GREATEST SPINNERSI EVER USED . IF YOU LIKE SALADS LIKE I DO . YOU NEED TO GET THIS OXO LETTACE SPINNER.C.INFUSINOCHICAGOLAND,Positif
works but don't overfill: These trays are very neat & work as designed for ice. We got them for baby food & found out quickly not to overfill them or the lid is nearly impossible to get off. I like that you can pop out just the number of ice cubes you need.,Positif
Simply Beautiful: This lamp is just beautiful. I bout 2 of them for behind my sofa and they make the room even more gorgeous. The quality is very good. The only problem I have is with the lamp shades not staying straight/even but it's not that big of a deal,Positif
awesome!!!: I am so pleased with my order. I am a huge Smallville fan and was pleased to finish my collection so quickly and easily. The price was more than half that of most stores. Package was still in plastic and brand new. Another happy Amazon customer!,Positif
Outdoor Cook Pot: The pot worked for our project as planned and we have not determined many more things that we are going to be cooking outside in the furture. This pot is big so it is for those that are creative and love to share their cooking experiences.,Positif
One of the best Live! albums ever.: Live After Death (along with ALIVE! from KISS) are the two best live metal albums ever. This is a non-stop assault on your senses. Every song is better than the last. You miss this album... you miss the best of the beast.,Positif
The Perfect Album: This is simply a wonderful CD. Every track is amazing. Patti's voice is mixed beautifully with an ideal blend of instrumentation. Truly an original offering. Deeply mesmerizing lyrics and melodies. You won't be disappointed with this one!,Positif
"Results of Deliberqate Intent: I am livng proof that if you truly have the intent on achieving an objective it can happen. It my take time, but, believe me the unthinkable can be achieved. Just keep focused!!!! Thoughts become things...choose the good ones.",Positif
"A very good book- one story on top of another: This book is really wonderful. It all takes place upon an abandoned ship, where the main character, Roberto Del la Griva must overcome his imagination. You see his past filled with surprises. A wonderful story.",Positif
Why in the world did they choose full screen ?: This is one of my favorite movies. I own the Lasedisc on widescreen. I could not wait for the DVD. I can't understand their decision to release this gem of a movie in the full screen version only. What a shame!,Positif
"Good Buy: This book gives some good advice on the essay, but an awful lot of the book is not related how to put together your best essay. I bought this after the book ""A is For Admission"" recommended it. I had much higher expectations for it because of that.",Positif
"Better than I remember: Grab a teen and watch it with them if you've got one around.Saw it awhile ago, wasn't that impressed. Teenaged Daughter wanted to watch it, so I sat with her and enjoyed it more this time.Thought provoking, and a conversation starter.",Positif
"Awesome: I had a lot of trouble finding this C D. I look over the internet for couple of hours until I came upon Amazon. Not only did I find what I was looking for, but bought the C D for a price I did not think could possible. Thanks! Love this Awesome C D.",Positif
"A Great Find: A friend wanted this book for Christmas, and I wasn't sure I would be able to locate it in time. I was pleased to find it on Amazon and ordered it. It arrived very promptly and in excellent condition. My friend was very happy with it as a gift.",Positif
"mexican way: Well, this is in my opinion the best period of Mahalia's carrer (1955). Her voice is still strong and too expressive. The songs let her ""touch"" us in a special way. It's a good oportunity for young people to listen the background's soul singers.",Positif
"A++++: This is from a mother. Im not crazy about Disney movies. But I saw this on TV and I was hooked. I couldn't leave the TV. Its sweet, has great messages, wonderful acting and a lots of fun music. This was a wonderful movie. I would buy this in a second.",Positif
AWSOME!: This game is spectacular i had it for pc and it was great.The enviroment of Lost Heaven is so detailed.The missons are filled with gun shootouts! and alot of explosions.I reccomend that anyone who is upsessed with Mafia History should get this game!,Positif
"Profound Talent!: The Bolshoi is awesome. Their front man, Trevor Tanner is an extremely powerful presence and talent. His voice is stimulatingly erotic. This group is a Number 1 in my opinion. Great production..great sound..great songs..my favorite is Away.",Positif
"All in all, enjoyable: #5 in a series of 7, reputedly going to be 8 any year now, the book is somewhat predictable but still very enjoyable. Modeled after the early portion of WWII,the Evacuation of Dunkirk, The Battle of Britain, etc. All in all, enjoyable.",Positif
"ONE OF THE BEST: I disagree with most of the people who say that ""CRIMES OF PASSION"" is better than IN THE HEAT.... I don't think so. The first album by Benatar, altough containing mostly covers, is very good and fresh, audacious and with great melodic rock.",Positif
"Hours of fun for little boys.: Very nice, high quality item. My boys, ages 6 and 8, really enjoy playing with it, loading it up and unloading it. Lots of removable and movable parts. Lots of creative, imaginative playtime. Highly recommended for little boys!",Positif
"Constitution Book: It's the Constitution of the United States; what's NOT to love? The book is small, compact, clear and easy to read - I wanted that very thing to carry with me for easy reference and this is it. Great book and of course, love the content :)",Positif
"Prime time JB: this is a slamming Live concert by James Brown were He truly gets down. you know His Band is always on point.JB Shifts so well between the Funk&Hwen he does ""It's a Mans World"" he Brings the Pain.a must have&See Performance from the Godfather.",Positif
"They'd watch it nonstop if I'd let them: apart from it arriving broken the first time, my kids are loving this DVD, which I alternate with the other I purchased to keep my own sanity. This DVD has created a Thomas fan out of my 3 1/2 yr. old daughter as well.",Positif
"The book was kind of confusing, but the idea was great.: It took me a little while to get into the story and get to know all the characters, but once I did I couldn't put the book down. Charles Dickens is a wonderful writer, and Great Expectations prooved it.",Positif
"famous arias: I purchased this a few years ago and found it extremely useful. Now I cannot find the original and am ordering another copy. I found it practical, useful, correct, the right size, etc. and would recommend it to anyone who is serious about opera.",Positif
"LOVE IT!!: Am very limited in what I can eat, and this product is a definite keeper. Is easily and very quickly prepared. Left-overs store very nicely, and this is yet another product I cannot find where I live, so am doubly grateful that Amazon carries this.",Positif
"My favorite all time jazz album.: Best jazz album ever. If you can keep still, listening to this one, you have no music in your soul. Super solos by some of the best in the business.Arranged by Lalo Shiffrin.I've been collecting jazz albums for over 50 years.",Positif
"Forbidden Planet Movie Review: This science fiction movie is one of the top five made in the 1950's and is even superior to the original ""War of the Worlds"" made in the 1950's. The story is truly a superior work as the events portrayed are possible in theory.",Positif
"I Finally Found It!!!: I went through high school listening to the great music of the SOS Band. I listen to it at least once a day at work. This is a great CD, but how could it not be, when it is a great band...great musicians, and great lyrics. Buy this CD!!",Positif
"Pleasure of my company by Steve Martin: This book is very clever, written from the perspective of the inner-workings of a guy with something like Asperger's Syndrome. Its short, made me laugh out loud several times, and he uses unbelievably creative language.",Positif
"Bens definitive review of Less Talk More Rock: A great album, the group seem to have aquired a greater level of musical skill, but some of the songs lack the personality of HTCE, and all express heavy political opinions. A great fast, hard hitting punk album.",Positif
"Inadequate Book Description: Book was in nice condition, as stated and it arrived promptly. The big problem was it is for a paralegal and that had not been explained to potential buyers. Consequently, it is inadequate for my purposes ans I have to sell it on.",Positif
"I Am Legend-Hell House: Fast paced. I couldn't put I Am Legend down. Hell House is my favorite haunted house story. It is not appropriate for young adults, or children. Both stories far outshine the movies based on them, and the movies are great for that era.",Positif
"AMAZING KNIFE: This is my first high quality kitchen knife, so I may be a little bias, but I think it's amazing. Beautiful construction, great feel in your hand, and a nice sharp blade edge on high quality steel. Now I need to save up for the rest of the set.",Positif
"CCS Yellow Cutting Pad: Used with a Porter Cable buffer/vibrator, this yellow cutting pad along with a ""cleaner"" will take out buff marks and swirls. Finish off with a ""white pad"" and polish and then when waxed your car will look like it has a showroom finish.",Positif
Very Good: I saw this in the movie theather. It rocked then and it still rocks. The story line is superb. The charactors are well written. The violence might scare some young ones. After I saw this movie I never stopped talking aobut it. I highly recommend it!,Positif
"just a few steps to total enlightenment: 1. Read the book during the summer-time2. Download the song ""Final Dream"" from the 80s movie ""Dune""3. Immerse yourself in water and/or listen to the song.4. Break out in tears.This book will change your life forever. :)",Positif
"Made a big impact: It's quite a while since I saw this movie, but it made a big impact on me at the time. I particularly liked Kubrick's use of classical music. I am keen to purchase a VHS copy but it would have to be in the PAL format - suitable for Australia",Positif
"Attractive and expensive looking, but great price.: I was very please with how well made these rings are. They were very cheap compared to everything else out there, so I was prepared for shoddy quality, but that's not what came. They are really well finished.",Positif
"Wonderful: Very happy with this purchase. Easy enough to set up. I really like being able to set the beverage temperature. I like the highest setting at 192-degrees for my beverages, but others in my family don't, and they are able to have ""cooler"" hot coffee.",Positif
"Perfect for Bed Time!!!: The best thing about this crib toy is the volume control. My 3-month old is content to lay there by herself just looking at the lights (only at night time though). Great for when she is semi-sleepy, following the lights knocks her out.",Positif
"Founding ""god"" father: This streamlined synopsis of the teachings of Jesus Christ is drawn from the gospels of the bible without any religious dogma. The parables Jesus spoke are compiled nicely and provided me with the life lessons which I attempt to live by.",Positif
